Rank,Team,Squad,Avg Age,Foreigners,Avg Market Value,Total market value,Season,Start Year
14,Deportivo Alaves,37,26.1,11,"€ 2,890,000","€ 106,750,000",2019/2020,2019
15,Levante,33,26.5,8,"€ 2,740,000","€ 90,500,000",2019/2020,2019
16,Real Valladolid,37,25.5,9,"€ 2,370,000","€ 87,780,000",2019/2020,2019
17,Mallorca,35,26.4,15,"€ 1,850,000","€ 64,680,000",2019/2020,2019
18,Osasuna,37,26.4,4,"€ 1,700,000","€ 62,780,000",2019/2020,2019
19,Granada,34,25.9,13,"€ 1,660,000","€ 56,580,000",2019/2020,2019
20,Eibar,29,28.3,11,"€ 1,850,000","€ 53,750,000",2019/2020,2019
1,Barcelona,32,25.1,20,"€ 25,420,000","€ 813,500,000",2020/2021,2020
2,Real Madrid,37,24.8,17,"€ 21,280,000","€ 787,300,000",2020/2021,2020
3,Atletico Madrid,39,24.9,21,"€ 19,820,000","€ 773,100,000",2020/2021,2020
4,Sevilla,38,25.6,17,"€ 11,010,000","€ 418,250,000",2020/2021,2020
5,Real Sociedad,38,24.7,5,"€ 10,700,000","€ 406,600,000",2020/2021,2020
6,Villarreal,36,25.9,13,"€ 8,130,000","€ 292,600,000",2020/2021,2020
7,Valencia,35,24.7,20,"€ 7,970,000","€ 278,850,000",2020/2021,2020
8,Real Betis,33,26.8,12,"€ 6,290,000","€ 207,700,000",2020/2021,2020
9,Athletic Bilbao,32,25.9,2,"€ 6,380,000","€ 204,150,000",2020/2021,2020
10,Getafe,33,25.4,19,"€ 5,150,000","€ 170,100,000",2020/2021,2020
11,Celta Vigo,41,24.3,12,"€ 3,800,000","€ 155,850,000",2020/2021,2020
12,Granada,44,24.9,17,"€ 2,790,000","€ 122,650,000",2020/2021,2020
13,Levante,34,26.5,10,"€ 3,320,000","€ 113,000,000",2020/2021,2020
14,Osasuna,36,27,7,"€ 2,690,000","€ 96,750,000",2020/2021,2020
15,Eibar,34,27.1,9,"€ 2,450,000","€ 83,400,000",2020/2021,2020
16,Deportivo Alaves,35,25.6,10,"€ 2,280,000","€ 79,800,000",2020/2021,2020
17,Huesca,34,26.5,9,"€ 1,890,000","€ 64,100,000",2020/2021,2020
18,Real Valladolid,41,26.6,9,"€ 1,550,000","€ 63,350,000",2020/2021,2020
19,Cadiz,41,27.2,16,"€ 1,160,000","€ 47,650,000",2020/2021,2020
20,Elche,41,26.7,15,"€ 1,110,000","€ 45,650,000",2020/2021,2020
1,Real Madrid,36,25.7,19,"€ 21,410,000","€ 770,750,000",2021/2022,2021
2,Barcelona,47,25.1,24,"€ 15,650,000","€ 735,600,000",2021/2022,2021
3,Atletico Madrid,43,25.3,24,"€ 15,390,000","€ 661,800,000",2021/2022,2021
4,Villarreal,39,26,15,"€ 10,480,000","€ 408,900,000",2021/2022,2021
5,Sevilla,43,25.7,21,"€ 8,950,000","€ 385,000,000",2021/2022,2021
6,Real Sociedad,40,24.7,7,"€ 9,420,000","€ 376,950,000",2021/2022,2021
7,Valencia,44,23.6,20,"€ 7,060,000","€ 310,600,000",2021/2022,2021
8,Real Betis,38,27.4,13,"€ 6,820,000","€ 259,000,000",2021/2022,2021
9,Athletic Bilbao,31,25.7,1,"€ 7,290,000","€ 226,050,000",2021/2022,2021
10,Getafe,43,25.2,18,"€ 4,850,000","€ 208,680,000",2021/2022,2021
11,Espanyol,38,25.4,7,"€ 3,460,000","€ 131,600,000",2021/2022,2021
12,Celta Vigo,34,25.5,11,"€ 3,530,000","€ 120,000,000",2021/2022,2021
13,Osasuna,32,26.9,4,"€ 3,390,000","€ 108,450,000",2021/2022,2021
14,Granada,39,26.5,16,"€ 2,660,000","€ 103,750,000",2021/2022,2021
15,Levante,42,26.3,12,"€ 1,850,000","€ 77,900,000",2021/2022,2021
16,Mallorca,41,25.7,16,"€ 1,810,000","€ 74,150,000",2021/2022,2021
17,Elche,37,27.4,13,"€ 1,970,000","€ 72,980,000",2021/2022,2021
18,Cadiz,37,27.3,14,"€ 1,830,000","€ 67,800,000",2021/2022,2021
19,Rayo Vallecano,36,26.2,14,"€ 1,870,000","€ 67,200,000",2021/2022,2021
20,Deportivo Alaves,43,25.1,15,"€ 1,520,000","€ 65,350,000",2021/2022,2021
1,Real Madrid,36,25.4,20,"€ 25,650,000","€ 923,450,000",2022/2023,2022
2,Barcelona,41,24,14,"€ 20,410,000","€ 836,800,000",2022/2023,2022
3,Atletico Madrid,40,25.4,22,"€ 13,360,000","€ 534,300,000",2022/2023,2022
4,Real Sociedad,37,24.5,6,"€ 11,940,000","€ 441,700,000",2022/2023,2022
5,Villarreal,43,25.8,15,"€ 8,450,000","€ 363,500,000",2022/2023,2022
6,Valencia,40,24,18,"€ 6,240,000","€ 249,780,000",2022/2023,2022
7,Real Betis,38,27.1,13,"€ 6,480,000","€ 246,400,000",2022/2023,2022
8,Sevilla,42,26.3,23,"€ 5,540,000","€ 232,580,000",2022/2023,2022
9,Athletic Bilbao,31,26.6,1,"€ 7,180,000","€ 222,450,000",2022/2023,2022
10,Osasuna,31,26.7,4,"€ 4,840,000","€ 150,050,000",2022/2023,2022
11,Girona,37,25.1,13,"€ 3,780,000","€ 139,900,000",2022/2023,2022
12,Celta Vigo,36,25.2,12,"€ 3,860,000","€ 139,100,000",2022/2023,2022
13,Getafe,34,26,14,"€ 3,500,000","€ 118,900,000",2022/2023,2022
14,Espanyol,36,25.5,10,"€ 3,230,000","€ 116,350,000",2022/2023,2022
15,Almeria,36,25.4,18,"€ 3,170,000","€ 114,200,000",2022/2023,2022
16,Mallorca,38,26.3,19,"€ 2,820,000","€ 107,000,000",2022/2023,2022
17,Rayo Vallecano,29,28.1,10,"€ 3,570,000","€ 103,400,000",2022/2023,2022
18,Real Valladolid,41,26.3,17,"€ 2,210,000","€ 90,750,000",2022/2023,2022
19,Elche,40,26.5,16,"€ 1,690,000","€ 67,500,000",2022/2023,2022
20,Cadiz,47,26.8,17,"€ 1,400,000","€ 65,600,000",2022/2023,2022
