Season,Rank,Team,P,W,D,L,GF,GA,GD,Pts,GAVG,Summary
2020/2021,1,Real Madrid,19,12,6,1,34,15,19,42,2.27,Away
2020/2021,2,Barcelona,19,13,2,4,41,18,23,41,2.28,Away
2020/2021,3,Atletico Madrid,19,11,5,3,26,14,12,38,1.86,Away
2020/2021,4,Sevilla,19,10,4,5,26,22,4,34,1.18,Away
2020/2021,5,Real Sociedad,19,8,5,6,25,17,8,29,1.47,Away
2020/2021,6,Villarreal,19,7,7,5,31,21,10,28,1.48,Away
2020/2021,7,Real Betis,19,7,5,7,23,29,-6,26,0.79,Away
2020/2021,8,Cadiz,19,6,6,7,19,28,-9,24,0.68,Away
2020/2021,9,Celta Vigo,19,5,8,6,25,27,-2,23,0.93,Away
2020/2021,10,Osasuna,19,4,6,9,16,25,-9,18,0.64,Away
2020/2021,11,Levante,19,4,5,10,19,27,-8,17,0.7,Away
2020/2021,12,Eibar,19,4,5,10,17,31,-14,17,0.55,Away
2020/2021,13,Athletic Bilbao,19,3,7,9,17,23,-6,16,0.74,Away
2020/2021,14,Real Valladolid,19,2,9,8,15,27,-12,15,0.56,Away
2020/2021,15,Granada,19,4,3,12,22,40,-18,15,0.55,Away
2020/2021,16,Deportivo Alaves,19,3,5,11,15,32,-17,14,0.47,Away
2020/2021,17,Getafe,19,3,5,11,13,30,-17,14,0.43,Away
2020/2021,18,Elche,19,3,4,12,16,32,-16,13,0.5,Away
2020/2021,19,Valencia,19,2,6,11,16,30,-14,12,0.53,Away
2020/2021,20,Huesca,19,2,6,11,17,32,-15,12,0.53,Away
2021/2022,1,Real Madrid,19,13,3,3,36,18,18,42,2,Away
2021/2022,2,Barcelona,19,9,8,2,31,19,12,35,1.63,Away
2021/2022,3,Real Betis,19,9,6,4,28,18,10,33,1.56,Away
2021/2022,4,Atletico Madrid,19,9,3,7,32,27,5,30,1.19,Away
2021/2022,5,Sevilla,19,6,10,3,17,13,4,28,1.31,Away
2021/2022,6,Real Sociedad,19,7,6,6,24,28,-4,27,0.86,Away
2021/2022,7,Osasuna,19,7,4,8,20,25,-5,25,0.8,Away
2021/2022,8,Villarreal,19,6,5,8,23,19,4,23,1.21,Away
2021/2022,9,Valencia,19,5,7,7,22,29,-7,22,0.76,Away
2021/2022,10,Celta Vigo,19,5,6,8,17,20,-3,21,0.85,Away
2021/2022,11,Athletic Bilbao,19,4,9,6,14,18,-4,21,0.78,Away
2021/2022,12,Cadiz,19,5,6,8,16,27,-11,21,0.59,Away
2021/2022,13,Granada,19,3,7,9,22,32,-10,16,0.69,Away
2021/2022,14,Elche,19,4,3,12,16,31,-15,15,0.52,Away
2021/2022,15,Rayo Vallecano,19,3,4,12,13,28,-15,13,0.46,Away
2021/2022,16,Levante,19,3,4,12,23,46,-23,13,0.5,Away
2021/2022,17,Mallorca,19,3,3,13,16,38,-22,12,0.42,Away
2021/2022,18,Getafe,19,1,8,10,12,26,-14,11,0.46,Away
2021/2022,19,Espanyol,19,1,6,12,15,34,-19,9,0.44,Away
2021/2022,20,Deportivo Alaves,19,1,3,15,14,44,-30,6,0.32,Away
2022/2023,1,Barcelona,19,13,1,5,33,16,17,40,2.06,Away
2022/2023,2,Atletico Madrid,19,10,5,4,29,18,11,35,1.61,Away
2022/2023,3,Real Madrid,19,11,1,7,31,20,11,34,1.55,Away
2022/2023,4,Real Sociedad,19,10,3,6,25,19,6,33,1.32,Away
2022/2023,5,Real Betis,19,8,4,7,20,23,-3,28,0.87,Away
2022/2023,6,Villarreal,19,7,4,8,23,22,1,25,1.05,Away
2022/2023,7,Athletic Bilbao,19,6,6,7,25,28,-3,24,0.89,Away
2022/2023,8,Sevilla,19,6,5,8,23,29,-6,23,0.79,Away
2022/2023,9,Osasuna,19,4,7,8,13,21,-8,19,0.62,Away
2022/2023,10,Espanyol,19,4,6,9,25,34,-9,18,0.74,Away
2022/2023,11,Rayo Vallecano,19,4,5,10,17,31,-14,17,0.55,Away
2022/2023,12,Girona,19,3,7,9,23,29,-6,16,0.79,Away
2022/2023,13,Celta Vigo,19,4,4,11,17,32,-15,16,0.53,Away
2022/2023,14,Getafe,19,3,6,10,13,25,-12,15,0.52,Away
2022/2023,15,Mallorca,19,4,3,12,15,31,-16,15,0.48,Away
2022/2023,16,Cadiz,19,3,6,10,11,30,-19,15,0.37,Away
2022/2023,17,Valencia,19,3,4,12,15,26,-11,13,0.58,Away
2022/2023,18,Real Valladolid,19,3,3,13,12,38,-26,12,0.32,Away
2022/2023,19,Elche,19,2,4,13,12,38,-26,10,0.32,Away
2022/2023,20,Almeria,19,1,5,13,20,43,-23,8,0.47,Away
